speaker_name,last name,first name,nickname,speaker_title_1,speaker_affiliation_1,speaker_title_2,speaker_affiliation_2,speaker_bio,speaker_website,twitter_handle
Chris Prom,Prom,Chris,,Assistant University Archivist and Associate Professor of Library Administration,University of Illinois at Urbana-Champaign,,,"<strong>Christopher J. Prom</strong> is Associate Director, University Archives, and Professor of Library Administration at the University of Illinois at Urbana-Champaign, where he is responsible for managing digital projects, supervising archival processing, and overseeing records scheduling. His research interests address the ways in which archival users seek information relevant to their needs and how they use electronic tools. Chris was the recipient of a 2003–04 National Historic Publications and Records Commission fellowship and a 1997–98 Fulbright fellow.He holds a PhD in History from the University of Illinois, where he wrote a dissertation regarding mutual aid societies in late-Victorian Britain, and he also studied at the University of York (United Kingdom). He is also Publications Editor for the Society of American Archives.",,
Christina Boyles,Boyles,Christina,,"Assistant Professor, Writing Rhetoric and American Cultures", Michigan State University,,,"Christina Boyles is an Assistant Professor of Culturally-engaged Digital Humanities in the Department of Writing, Rhetoric, and American Cultures at Michigan State University. Her research explores the relationship between digital humanities, surveillance, social justice, and the environment. Her published work appears in Digital Humanities Quarterly, Bodies of Information: Feminist Debates in the Digital Humanities, American Quarterly, The Southern Literary Journal, The South Central Review, and Plath Profiles.",christinaboyles.net,clboyles
Christy Hyman,Hyman,Christy,,PhD Student,University of Nebraska Lincoln,,,"Christy Hyman is a PhD student and digital humanist in the Department of History at the University of Nebraska Lincoln. Her work wrestles with the societal and ideological tensions in defining freedom within the United States south during the nineteenth century. Specifically, her investigations highlight African American efforts toward cultural and political assertion in the Great Dismal Swamp region. Her focus also includes environmental impacts resulting from the extractive industries that originated in the Great Dismal Swamp alongside the exploitation of enslaved labor. Building on the work of archaeologists, historians, and novelists, her work maps (or rather counter maps) the experiences of enslaved runaways and laborers who were exposed to the Great Dismal Swamp and the long duree of the attendant political, social and environmental costs of human/landscape resource exploitation.",,Christy_SpaceHW
Chuck Henry,Henry,Chuck,,Vice Provost and University Librarian,Rice University,,,"Henry came to Rice in 1996 from Vassar College, where he had been director of the libraries. As Rice’s vice provost and university librarian, he was responsible for the administration, strategy, policymaking and fundraising for the libraries, the Digital Library Initiative, the Electronic Resource Center (now the Digital Media Center) and, most recently, the Rice University Press. During 2000-04, he served also as vice president and chief information officer, taking on responsibility for administration, planning and policy for information technology services and data application centers and working with faculty and students in support of teaching and research. Henry revived the Rice University Press after a decade-long hiatus, taking advantage of technology to make it the first fully digital university press in the U.S. [<a href=""news.rice.edu/2007/01/18/university-librarian-henry-leaving-rice/"">Source: Rice University Website</a>]",news.rice.edu/2007/01/18/university-librarian-henry-leaving-rice/,
Chunyuan Liao,Liao,Chunyuan,,,Computer Science and Human-Computer Interaction Lab,,,,,
Columba Stewart,Stewart,Columba,,Executive Director,Hill Museum and Manuscript Library,,,"A graduate of Harvard, Yale and Oxford universities, Stewart has published extensively in his research field of early Christian monasticism. In 2009-10, he was the recipient of a year-long research fellowship from the National Endowment for the Humanities and a residential fellowship in Byzantine Studies at the Dumbarton Oaks Research Library in Washington, D.C. This year he is in Princeton at the Institute for Advanced Study and is also a Guggenheim Fellow._x000D__x000D_
_x000D__x000D_
Since 2003, Stewart has served as executive director of HMML, a global organization within Saint John’s University, Collegeville, Minnesota, that is the world’s leader in digital manuscript preservation. Stewart has developed HMML’s extensive manuscript digitization initiatives in historic Christian and Muslim communities in the Middle East, Eastern Europe, India and Africa. He has earned acceptance and trust from these communities, who know him both as a modern Benedictine monk and as a recognized expert on the history of early Christianity and monasticism._x000D__x000D_
_x000D__x000D_
Stewart is also a professor of theology at Saint John's School of Theology and Seminary, teaching the history of monasticism.",csbsju.edu/sot/about-us/sot_facultystaff/sot_faculty/stewart_c,ColumbaStewart
Craig Dietrich,Dietrich,Craig,,Mellon Research Fellow,Occidental College,,,"Craig Dietrich’s online work includes <a href=""calltia.com/"">Tenants in Action</a> (TIA), an app that facilitates slum-housing reports to LA city agencies; the Mukurtu Archive and Plateau People’s Web Portal, for which he was the first lead developer; <a href=""scalar.usc.edu"">Scalar</a>, which he co-created with the Alliance for Networking Visual Culture (ANVC); and Tensor, an iTunes-like app for managing content from cultural archives. His offline production includes <a href=""walkingwallstreet.net/"">Walking Wall Street</a>, a project that has seen Dietrich find Wall Streets in towns and cities across America; and Occupy Roundtable, which he hosted in Los Angeles lecture-halls.",craigdietrich.com ,craigdietrich
Craig Saper,Saper,Craig,,Associate Professor,"University of Maryland, Baltimore County",,,"<strong>Craig Saper</strong> (csaper&lt;at&gt;umbc&lt;dot&gt;edu) is on the faculty of the Language, Literacy, &amp; Culture multi-disciplinary doctoral program at UMBC, and has published widely, and in multimodal formats, on the digital humanities.  He is the author of <em>Intimate Bureaucracies</em> (2012), <em>Networked Art</em> (2001) and <em>Artificial Mythologies </em>(1997). He has edited, and written afterwards for, Bob Brown’s <em>Words</em> and <em>The Readies</em> (both 2009), and he edited, with C. J. Freeman and W. Garrett-Petts, an anthology on <em>Imaging Place</em> (2009). He has guest edited special issues of <em>Visible Language</em> (1988) and <em>Style</em>(2001), and co-edited, with Ellen Berry, a special issue of <em>Rhizomes</em> on “Drifts” (2007), and, with R. Burt, on “posthumography” (2010). He is also the reviews editor and “Blog Report” columnist for <em>Rhizomes</em>. He wrote the introduction to Sharon Kivland’s <em>A Disturbance of Memory</em>, II (2008). His curatorial projects include exhibits on “Assemblings” (1997), “Noigandres: Concrete Poetry in Brazil” (1988), “TypeBound” (2008), and <a href=""www.folkvine.org"" target=""_blank"">folkvine.org</a> (2003-6). He is presently completing a biography of a poet-publisher-inventor-impresario-writer in every imaginable genre, Bob Brown, who invented a reading machine. A <em>New York Times</em> Books section Back Page Essay described Saper’s research and publications on Brown in the context of new iPad’s and e-readers, and called Brown the “godfather of the e-reader.” An example of Brown’s machine: <a href=""www.readies.org"" target=""_blank"">www.readies.org</a>.",,
Dan Cohen,Cohen,Dan,,Center for History and New Media,George Mason University,,,"Cohen is a Professor of History in the <a href=""chnm.gmu.edu/historyarthistory/"">Department of History and Art History</a> at <a href=""www.gmu.edu/"">George Mason University</a> and the Director of the <a href=""chnm.gmu.edu/"">Roy Rosenzweig Center for History and New Media</a>. His personal research has been in digital humanities, broadly construed: the impact of new media and technology on all aspects of knowledge, from the nature of digitized resources to twenty-first century research techniques and software tools to the changing landscape of communication and publication._x000D__x000D_
_x000D__x000D_
He's the co-author of  <em>Digital History: A Guide to Gathering, Preserving, and Presenting the Past on the Web</em> (University of Pennsylvania Press, 2005), and the author of <em>Equations from God: Pure Mathematics and Victorian Faith</em> (Johns Hopkins University Press, 2007). He has published articles and book chapters on new media, the history of mathematics and religion, the teaching of history, scholarly communication, and the future of the humanities in a digital age in journals such as the <em>Journal of American History</em>, <em>Victorian Studies</em>, and <em>Rethinking History</em>. Cohen's work and thought has <a href=""www.nytimes.com/2010/08/24/arts/24peer.html"">been</a> <a href=""www.nytimes.com/2010/12/04/books/04victorian.html?pagewanted=all"">featured</a> <a href=""www.nytimes.com/2011/08/18/books/old-bailey-trials-are-tabulated-for-scholars-online.html"">frequently</a> in the <em>New York Times,</em> the <a href=""www.washingtonpost.com/wp-dyn/content/article/2010/05/05/AR2010050505309.html""><em>Washington Post</em></a>, the <a href=""chronicle.com/article/Whats-the-Big-Idea-/124277/""><em>Chronicle of Higher Education</em></a>, and <a href=""www.timeshighereducation.co.uk/story.asp?sectioncode=26&amp;storycode=411899&amp;c=1""><em>Times Higher Education</em></a>.",,dancohen
Dana A. Williams,Williams,Dana A.,,Department Chair and Professor of English,Howard University,,,"A specialist in contemporary African American Literature, Dana A. Williams earned her B.A. in English from Grambling State University in Grambling, LA in 1993, her M.A. in 1995 from Howard University, and her Ph.D. in African American Literature from Howard University in 1998. Before returning to Howard University as a faculty member in 2003, Dr. Williams held a Ford Foundation Post-doc at Northwestern University in Evanston, IL, and taught at Louisiana State University in Baton Rouge for four years. In 2008-09, she was a faculty fellow at the John Hope Franklin Humanities Institute at Duke University, and she assumed the chairmanship of the Department in 2009._x000D__x000D_
_x000D__x000D_
Along with Sandra Shannon, she co-edited <em>August Wilson and Black Aesthetics</em>, edited <em>African American Humor, Irony, and Satire: Ishmael Reed, Satirically Speaking, Conversations with Leon Forrest</em>, and <em>Contemporary African American Fiction: New Critical Essays</em>. She is also the author of <em>Leon Forrest, In the Light of Likeness—Transformed: The Literary Art of Leon Forrest</em> (Ohio State UP, 2005)._x000D__x000D_
_x000D__x000D_
She is the past president of the Association of the Departments of English Executive Committee, Chair of the Black American Literature and Culture Forum for the Modern Languages Association, and Immediate President of the College Language Association--the oldest and largest professional organization for faculty of color who teach languages and literatures.",coas.howard.edu/english/faculty&amp;staff_williams.html,DWill5
Daniel Pitti,Pitti,Daniel,,,"IATH, University of Virginia",,,,,
Daniel Stökl Ben Ezra,Stökl Ben Ezra,Daniel,,Research Professor," École Pratique des Hautes Études (EPHE), Paris",,,"A graduate of the Hebrew University of Jerusalem (2001), Daniel Stökl Ben Ezra is research professor of Ancient Hebrew and Aramaic since 2011. His main work concerns Dead Sea Scrolls (Qumran, Stuttgart: UTB 2016) and early Rabbinic literature (<a href=""editions.erabbinica.org"">editions.erabbinica.org</a> with Hayim Lapin) as well as Jewish-Christian relations: Impact of Yom Kippur on Early Christianity (Tübingen: Mohr-Siebeck 2003). He has been director of the digital humanities programme at the EPHE (2013-2018) and is currently director of the Scripta-numérique project of PSL creating a VRE combining AI (computer vision, NLP, machine learning) and DH for the studying of manuscripts and inscriptions.",ephe.academia.edu/danielstoekl,
Darius Kazemi,Kazemi,Darius,,Independent Artist,,,,"Darius Kazemi makes weird internet stuff. His best known work is the Random Shopper, a program that bought him random books, DVDs, and CDs from Amazon each month. He also has a small army of Twitter bots that he builds because they make him laugh. He works as an API Evangelist at Akamai in Boston. Before he moved into internet technology, he was a game developer for ten years._x000D__x000D_
<div></div>",tinysubversions.com,tinysubversions
Dave Lester,Lester,Dave,,Assistant Director,MITH,,,,davelester.org,davelester
David Kirsch,Kirsch,David,,,School of Business,,,,,
David McClure,McClure,David,,Web Applications Specialist,"Scholars' Lab, University of Virginia Library",,,"<strong>David McClure</strong> is the Web Applications Specialist on the Scholars’ Lab R&amp;D team. David graduated from Yale University with a degree in the <a href=""www.yale.edu/humanities/"">Humanities</a> in 2009 and worked as an independent web developer in San Francisco, New York, and Madison, Wisconsin before joining the lab in 2011. David is working on the <a href=""neatline.scholarslab.org"">Omeka + Neatline</a> project and pursuing research projects that explore the idea that software can be used as a tool to inform, extend, and advance traditional lines of inquiry in literary theory and aesthetics.",,clured
David Mimno,Mimno,David,,Postdoctoral Researcher,Princeton University,,,,,dmimno
David Prager Branner,Prager Branner,David,,,,,,,,
David Saltz,Saltz,David,,"Head, Department of Theatre and Film Studies",University of Georgia,,,"<strong>David Z. Saltz </strong>(PhD, Stanford) is head of the Department of Theatre and Film Studies at the University of Georgia, He currently serves as editor of Theatre Journal. His primary research focus is the interaction between live performance and digital media. He is Principal Investigator of Virtual Vaudeville, a large-scale research project that was funded by the National Science Foundation to simulate a nineteenth century vaudeville performance on the computer. He has also explored the use of computer technology extensively in his work as a director and teacher. Along those lines he established the Interactive Performance Laboratory at UGA, has directed a series of productions incorporating real-time interactive digital media, and has created interactive sculptural installations that have been exhibited nationally. He has published 20 articles in scholarly journals and books, and is coeditor (with David Krasner) of the book <em>Staging Philosophy: Intersections between Theatre, Performance and Philosophy</em> (University of Michigan Press, 2006).",drama.uga.edu/faculty-and-staff/david-saltz,dzsaltz
David Silver,Silver,David,,,University of Maryland,,,,,
Despina Kakoudaki,Kakoudaki,Despina,,"Assistant Professor, Department of Literature",American University,,,"Professor Kakoudaki teaches interdisciplinary courses in literature and film, visual culture, and the history of technology and new media. Her interests include cultural studies, science fiction, apocalyptic narratives, and the representation of race and gender in literature and film._x000D__x000D_
_x000D__x000D_
She completed her doctorate in Comparative Literature at the University of California at Berkeley, and taught at Berkeley and at Harvard University before joining AU. She has published articles on robots and cyborgs, race and melodrama in action and disaster films, body transformation and technology in early film, the political role of the pin-up in World War II, and the representation of the archive in postmodern fiction. She has also co-edited a collection of essays on the work of Pedro Almodovar with Brad Epps (University of Minnesota Press, 2009).",american.edu/cas/faculty/kakoudak.cfm,
Donald Brinkman,Brinkman,Donald,,"Program Manager, Digital Humanities, Digital Heritage and Games for Learning",Microsoft Research,,,"<strong>Donald Brinkman</strong> manages external programs in digital humanities, digital heritage and games for learning at Microsoft Research. Donald supports the <a href=""g4li.org"" target=""_blank"">Games for Learning Institute</a>, a consortium of 8 universities, 14 principal investigators, and a small army of graduate students whose mission is to explore what makes games fun, what makes them educational, and how to best blend the two goals. He is the Microsoft champion for the <a href=""play.rit.edu/"" target=""_blank"">Just Press Play</a> project, an experiment to transform the undergraduate education of 750 students at Rochester Institute of Technology into a gameful narrative. Other projects include <a href=""blogs.msdn.com/b/surface/archive/2010/04/27/experience-the-garibaldi-panorama-on-surface.aspx"" target=""_blank"">Project Garibaldi</a> and <a href=""www.gameshownyc.com/"" target=""_blank"">Game Show NYC</a>._x000D__x000D_
_x000D__x000D_
Before joining MSR, Donald Brinkman served for two years as a technical program manager for the Microsoft education group. In that role he was responsible for defining vision of innovative business intelligence and analytics for education as well as driving a variety of enterprise-scale server capabilities. Prior to joining Microsoft he spent eight years in developmental and technical roles acquiring and executing government research contracts in areas such as quantum computation; signals intelligence; electromagnetic and kinetic simulations; behavioral economics; game theory; and cross-cultural communications. Donald is a writer, painter, game designer, and a passionate advocate of the benefits of building bridges between technical and humanist disciplines. He is particularly interested in disruptive technologies that leverage crowdsourcing, social computing, culture jamming, transmedia, and other non-traditional approaches. You can find out more about Donald at <a href=""blogs.technet.com/b/next/archive/2012/01/27/donald-brinkman-polymath-poet-gaming-geek.aspx"" target=""_blank""> Next@Microsoft</a>.",,Brinkmanship
Doug Reside,Reside,Doug,,"Assistant Director, MITH",University of Maryland,,,"<strong>Doug Reside</strong> is Assistant Director of the Maryland Institute for Technology in the Humanities (MITH). In addition to undergraduate degrees in English and Computer Science from Truman State University, he holds a PhD in English from the University of Kentucky and his dissertation, completed in 2006, proposes a theory for textual criticism and editing of musical theater texts and included an electronic edition of the 1998 musical Parade. Reside directs all programming work at MITH and has taught three courses on programming for humanities students.",nypl.orgstaff-profiles/doug-reside,dougreside
Douglas Eyman,Eyman,Douglas,,,George Mason University,,,,,
Douglas Oard,Oard,Douglas,,,"iSchool, University of Maryland",,,,,
Ed Summers,Summers,Ed,,Information Technology Specialist,Library of Congress,,,,,edsu
Elisa Beshero-Bondar,Beshero-Bondar,Elisa,,"Director, Center for the Digital Text and Associate Professor of English",University of Pittsburgh at Greensburg,,,"Elisa Beshero-Bondar, PhD researches British Romanticism in poetry and drama from the 1790s - 1830s. Her book about women Romantic poets, titled Women, Epic, and Transition in British Romanticism, was published by the University of Delaware Press in 2011, and she has published articles investigating the poetry of Robert Southey, Mary Russell Mitford, and Lord Byron in context with 18th- and 19th-century views of revolution, world empires, natural sciences, and theater productions. She is currently exploring the applications of TEI XML and other markup languages in Digital Humanities research. She is the architect of the <a href=""digitalmitford.org"">Digital Mitford Project</a> and works on other collaborative digital archives and research projects using computational methods to study complicated textual questions, such as <a href=""amadis.newtfire.org"">Amadis in Translation</a> and the <a href=""https://ebeshero.github.io/Pittsburgh_Frankenstein/"">Bicentennial Frankenstein Project</a>. An active member of the Text Encoding Initiative (TEI), she was elected to serve on from 2016 to 2017 on the TEI Technical Council, an eleven-member international committee that supervises amendments to the TEI Guidelines. A faculty member at Pitt-Greensburg since 2004, she serves as the Director of Pitt-Greensburg's Center for the Digital Text, which supports digital project development and research collaborations among faculty and students.",greensburg.pitt.edu/people/elisa-eileen-beshero-bondar-phd,epyllia
Elissa Frankle,Frankle,Elissa,,Digital Projects Coordinator of Digital Learning and New Media,United States Holocaust Memorial Museum,,,"Elissa Frankle is the Digital Projects Coordinator for Digital Learning and New Media at the United States Holocaust Memorial Museum, where she manages the in-museum digital experience and advocates for the inclusion of visitor voices in the work of the Museum. A longtime cheerleader for citizen history, Elissa served as the community manager for the Holocaust Museum's first citizen history project, <em>Children of the Lodz Ghetto: A Memorial Research Project</em>, and is the current project lead for <em>History Unfolded: US Newspapers and the Holocaust</em>, a major citizen history undertaking in support of the Museum's upcoming initiative on Americans and the Holocaust. Outside of work, Elissa serves as the Leadership Development and Awards chair for the <a href=""www.aam-us.orgresources/professional-networks/edcom"" target=""_blank"" rel=""noopener"">American Alliance of Museums' Education Professional Network</a> (EdCom), and organizes the DC chapter of <a href=""https://twitter.com/museumworkers"" target=""_blank"" rel=""noopener"">Museum Workers Speak</a>, where she fights for paid internships and greater equity in museum labor practices throughout the field.",,museums365
Elizabeth Bearden,Bearden,Elizabeth,,,,,,,,
Elizabeth Losh,Losh,Elizabeth,,Associate Professor of English and American Studies,College of William and Mary,,,"Elizabeth Losh is the author of <em>Virtualpolitik: An Electronic History of Government Media-Making in a Time of War, Scandal, Disaster, Miscommunication, and Mistakes</em> (MIT Press, 2009) and <em>The War on Learning: Gaining Ground in the Digital University</em> (MIT Press, 2014). She is the co-author of the comic book textbook <em>Understanding Rhetoric: A Graphic Guide to Writing</em> (Bedford/St. Martin’s, 2013) with Jonathan Alexander. She is currently working on a new monograph, tentatively entitled <em>Obama Online: Technology, Masculinity, and Democracy</em>._x000D__x000D_
_x000D__x000D_
She writes about gender and technology, the digital humanities, distance learning, connected learning, media literacy, and the rhetoric surrounding regulatory attempts to limit everyday digital practices._x000D__x000D_
_x000D__x000D_
She has written a number of frequently cited essays about communities that produce, consume, and circulate online video, videogames, digital photographs, text postings, and programming code. The diverse range of subject matter analyzed in her scholarship has included coming out videos on YouTube, videogame fan films created by immigrants, combat footage from soldiers in Iraq shot on mobile devices, video evidence created for social media sites by protesters on the Mavi Marmara, remix videos from the Arab Spring, and the use of Twitter and Facebook by Indian activists working for women’s rights after the Delhi rape case.  Much of this body of work concerns the legitimation of political institutions through visual evidence, representations of war and violence in global news, and discourses about human rights.  This work has appeared in edited collections from MIT Press, Routledge, University of Chicago, Minnesota, Oxford, Continuum, and many other presses.",,lizlosh
Elizabeth Martin,Martin,Elizabeth,,,,,,,,
Emad Khazraee,Khazraee,Emad,,"Fellow, Berkman Klein Center for Internet & Society",Harvard University,Assistant Professor in the School of Information,Kent State University,"<div dir=""ltr"">_x000D__x000D_
<div class=""gmail_default"">​Emad Khazraee is a sociotechnical information scientists and an assistant professor in the <a href=""https://www.kent.edu/cci"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=https://www.kent.edu/cci&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNGP52rbwMppmu-PxHvuqM7xYjvsKw"">college of communication and information</a>, <a href=""https://www.kent.edu/slis"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=https://www.kent.edu/slis&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNGdjU6Z1zuGcRMZeOfLSAy2oqR1vQ"">School of Information</a> at <a href=""https://www.kent.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=https://www.kent.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNF8XDqY7Zlfwm_F7cfjNDjuSAM39g"">Kent State University</a> and a fellow at <a href=""https://cyber.harvard.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=https://cyber.harvard.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNEwCnXBPKLcwBa6SRHkrD4OkJ7clw"">Berkman-Klein Center for Internet &amp; Society at Harvard</a>. His research is formed around the interplay between social and technical phenomena.</div>_x000D__x000D_
</div>_x000D__x000D_
<div dir=""ltr""><span style=""color: #000000; font-family: verdana, sans-serif;"">_x000D__x000D_
</span>Khazraee's doctoral research focused on knowledge production processes in data-intensive, collaborative and multidisciplinary communities of practice, specifically the knowledge production processes in archaeological communities of practice. His research also focuses on how archaeologists construct their epistemic narratives from recorded pieces of information, looking at the way they collaborate and the performativity of information technologies.</div>_x000D__x000D_
<div dir=""ltr""></div>_x000D__x000D_
<div dir=""ltr"">In another research trajectory, Khazraee looks at the cultural differences in new media use and the relationship between social change and digital technologies. Relying on sociotechnical approaches to social media studies and conceptual frameworks developed in Science Technology Studies (STS), he explores the role of social media in social transformations.</div>_x000D__x000D_
<div dir=""ltr""></div>_x000D__x000D_
<div dir=""ltr"">Khazraee has also held a Post-Doctoral research fellow position at the<a href=""www.global.asc.upenn.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=www.global.asc.upenn.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNGtuMp8rjiS-dLfqTff9YKRDysiSg""> Center for Global Communication Studies</a> at the <a href=""https://www.asc.upenn.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=https://www.asc.upenn.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNHTl3lTLw0dsIjDQOc-vPtVVw1glg"">Annenberg School for Communication</a> at the <a href=""www.upenn.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=www.upenn.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNFiugs84LSfdkCk1bIEEhvBauvhDw"">University of Pennsylvania</a> (2014-2015). He received his Ph.D. in Information Studies from the <a href=""cci.drexel.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=cci.drexel.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNHOjbFiGufPX3AdQDBkPJCtwiN2yw"">College of Computing and Informatics</a>, <a href=""www.drexel.edu/"" target=""_blank"" rel=""noopener"" data-saferedirecturl=""https://www.google.com/url?hl=en&amp;q=www.drexel.edu/&amp;source=gmail&amp;ust=1513185389958000&amp;usg=AFQjCNFASMgOmnXYil1bAH_NktaEboFzAw"">Drexel University</a>, and a<span style=""color: #000000; font-family: verdana, sans-serif;""> </span>Master’s Degree in Architecture from the University of Tehran. In addition to practicing as an architect in Iran, he has worked in the preservation of historical monuments and sites before joining the Encyclopaedia of Iranian Architectural History (EIAH) in 2006, where he was the director of the ICT Department (2006-2009), with the goal of creating infrastructure for meaningful integration of information technology into cultural heritage practices.</div>",khazraee.com,seakha
Ethan Watrall,Watrall,Ethan,,Assistant Professor; Associate Director; Director,Anthropology; MATRIX; Cultural Heritage Informatics Initiative,,,"<strong>Ethan Watrall</strong> is an Assistant Professor in the Department of Anthropology and Associate Director of Matrix: The Center for Humane Arts, Letters &amp; Social Sciences Online (<a href=""matrix.msu.edu"" target=""_blank"">matrix.msu.edu</a>) at Michigan State University. In addition, Ethan is Director of the Cultural Heritage Informatics Initiative (<a href=""chi.anthropology.msu.edu"" target=""_blank"">chi.anthropology.msu.edu</a>) and the Cultural Heritage Informatics Fieldschool at Michigan State University (<a href=""sites.matrix.msu.edu/chi-fieldschool"" target=""_blank"">sites.matrix.msu.edu/chi-<wbr />fieldschool</a>). Ethan’s interests fall in the domain of cultural heritage informatics and digital archaeology, with particular focus on serious games &amp; meaningful play, mobile &amp; geospatial (mostly within the context of public outreach and engagement), and linked open archaeological data. Ethan is PI of the NEH funded ""Red Land/Black Land: Teaching Ancient Egyptian History Through Game-Based Learning” project.  Ethan is editor of Play the Past (<a href=""www.playthepast.org"" target=""_blank"">www.playthepast.org</a>), a collaborative authored, scholarly blog dedicated to exploring the intersection between games and cultural heritage.  In addition, Ethan is co-editor of Archaeology 2.0: New Tools for Communication and Collaboration, an open access volume published by the UCLA Cotsen Institute of Archaeology Press (<a href=""www.escholarship.orguc/item/1r6137tb"" target=""_blank"">www.escholarship.org<wbr />uc/item/1r6137tb</a>). In addition to his scholarly work, Ethan has written trade books on web and interactive design, including Head First Web Design published by O’Reilly.",,captain_primate
Franklin J. Hildy,Hildy,Franklin J.,,Professor and Director of Graduate Studies in the Department of Theatre,University of Maryland,,,,,
Fred Gibbs,Gibbs,Fred,,Assistant Professor of History,George Mason University,,,,,fredgibbs
George Williams,Williams,George,,"Associate Professor, Department of English",University of South Carolina Upstate,,,"<strong>Dr. Williams</strong> is an Associate Professor of English at the University of South Carolina Upstate where he has led a research project on accessible website development. His research and teaching interests include eighteenth-century studies, orality &amp; literacy, the digital humanities, and disability studies in the humanities. He is a regular contributor to <a title=""Profhacker"" href=""profhacker.com"" target=""_blank"">Profhacker.com</a>, <a title=""BrailleSC.org"" href=""BrailleSC.org"" target=""_blank"">BrailleSC.org</a>, and <a href=""www.eighteenthcentury.org"">EighteenthCentury.org.</a>",georgehwilliams.pbworks.com/w/page/14266798/FrontPage,GeorgeOnline
Georgina Goodlander,Goodlander,Georgina,,Interpretive Programs Manager,"Luce Foundation Center for American Art, Smithsonian American Art Museum",,,"<strong>Georgina Bath Goodlander</strong> is the Interpretive Programs Manager of the Luce Foundation Center for American Art at the Smithsonian Institution. She is responsible for all operations of the Center, including developing and overseeing a regular schedule of public programs, updating interpretative information, maintaining audiovisual installations, coordinating the selection and installation of collection objects in cases in the Center, and supervising staff. In 2008, she managed the creation of <em>Ghosts of a Chance</em> and developed a module version of the game, which is available to the public on a regular basis.",countedshadows.com/wordpress,bathlander
Grant Dickie,Dickie,Grant,,,,,,,,
Greg Cox,Cox,Greg,,,,,,,,
Greg Crane,Crane,Greg,,Professor of Classics & Editor-in-Chief of the Perseus Project,Tufts University,,,"<strong>Greg Crane</strong> is currently a Professor of Classics, as well as Editor-in-Chief of the Perseus Project at Tufts University. He has written two books on Thucydides; The Blinded Eye &amp; The Ancient Simplicity, and is currently conducting preliminary research for a planned book on Cicero. He is particularly interested in the extent to which broadcast media such as the World Wide Web not only enhance the work of professional researchers and students in formal degree programs but create new audiences outside academia for cultural materials. His current research focuses on ""computational humanities"" and how this new field can help to democratize information without compromising intellectual rigor.",perseus.tufts.edu/hopper/about/who/gregoryCrane,GegoryR
Gregory Zinman,Zinman,Gregory,,"Assistant Professor of of Literature, Media, and Communication",Georgia Institute of Technology,,,"Gregory Zinman is an Assistant Professor in the School of Literature, Media, and Communication at Georgia Tech. Before arriving at Georgia Tech, he was an ACLS New Faculty Fellow in the Film Program at Columbia University and the scholar-in-residence at the New York Film-Makers’ Cooperative. In 2013, he was Postdoctoral Fellow at the Smithsonian American Art Museum, working on the Nam June Paik Archive. He is currently completing his first book, <em>Handmade: The Moving Image Without Photography</em>, which provides a theoretical and historical framework for understanding craft-based moving image practices, from painted film to new media. He is also editing, with John Hanhardt and Edith Decker-Phillips, <em>Nam June Paik: Selected Writings</em> (forthcoming from The MIT Press)._x000D__x000D_
_x000D__x000D_
Zinman's writing on film and media has been published in <em>The New Yorker</em>, <em>American Art</em>, <em>Film History</em>, <em>Animation Journal</em>, <em>MIRAJ</em>, and <em>Millennium Film Journal</em>. His current research is supported by a fellowship from the National Endowment for the Humanities. He serves as a curatorial consultant to the Yale University Art Gallery and the Smithsonian American Art Museum, and has programmed film and media art at the Film-makers’ Co-op, the Museum of the Moving Image, Asia Society New York, and the Ann Arbor Film Festival, as well as a number of venues in Atlanta. His website, handmadecinema.com, received the 2015 award for “Best Electronic Reference Site,” from the Popular Culture Association/American Culture Association._x000D__x000D_
_x000D__x000D_
Zinman holds a Ph.D. from the Department of Cinema Studies at New York University, a BA in American Studies from Yale University, and a MA in Cinema Studies from NYU.",gregzinman.wordpress.com,gregzinman
