speaker_name,last name,first name,nickname,speaker_title_1,speaker_affiliation_1,speaker_title_2,speaker_affiliation_2,speaker_bio,speaker_website,twitter_handle
Cheryl Ball,Ball,Cheryl,,Associate Professor of Digital Publishing,West Virginia University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Cheryl Ball studies and teaches rhetorical activities and genres in digital media and publishing contexts, emphasizing how users learn to analyze and produce texts for professional purposes. She calls this apprenticeship philosophy an editorial pedagogy._x000D__x000D_ _x000D__x000D_ Since 2006, she has been editor of the online, peer-reviewed, open-access journal {\field{\*\fldinst{HYPERLINK ""kairos.technorhetoric.net/""}}{\fldrslt{\ul
Kairos: Rhetoric, Technology, and Pedagogy
}}}
, which exclusively publishes digital media scholarship and is read in 180 countries. The portfolio on {\field{\*\fldinst{HYPERLINK ""ceball.com/""}}{\fldrslt{\ul
her website
}}}
 showcases her scholarship and teaching in rhetoric and composition, technical communication, and publishing studies, including articles in Classroom Discourse, Computers and Composition, C&C Online, Fibreculture, Convergence, Programmatic Perspectives, Technical Communication Quarterly, Writing & Pedagogy, and several visual rhetoric and multimodal textbooks._x000D__x000D_ _x000D__x000D_ Her other books include a scholarly multimedia collection The New Work of Composing (co-edited with Debra Journet and Ryan Trauman) and the print-based {\field{\*\fldinst{HYPERLINK ""www.bedfordstmartins.com/Catalog/product/writerdesigner-firstedition-arola""}}{\fldrslt{\ul
RAW: Reading and Writing New Media
}}}
\u160?(co-edited with Jim Kalmbach). Her newest book, {\field{\*\fldinst{HYPERLINK ""www.bedfordstmartins.com/Catalog/product/writerdesigner-firstedition-arola""}}{\fldrslt{\ul
Writer/Designer: A Guide to Making Multimodal Projects
}}}
 (with Kristin Arola and Jenny Sheppard), is available to order from Bedford/St. Martin\u8217's Press.\par}

",ceball.com,s2ceball
Chip Manekin,Manekin,Chip,,,,,,"

",,
Chris Apple,Apple,Chris,,,,,,"

",,
Chris Funkhouser,Funkhouser,Chris,,,"Humanities Department, New Jersey Institute of Technology",,,"

",,
Chris Mustazza,Mustazza,Chris,,Associate Director of PennSound,University of Pennsylvania,,,"{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_ _x000D__x000D_ Chris Mustazza is the Associate Director of the PennSound archive, a Ph.D. student in the English department, and director of computing for the academic departments in Penn\u8217's School of Arts & Sciences. His dissertation explores the emergence of the poetry audio archive in the early 20th\u160?century, alongside the rise in sound recording technologies. His work includes editing never-before-heard collections of readings by poets like Gertrude Stein, Robert Frost, and James Weldon Johnson, and his writing has appeared in\u160?{\i The Chicago Review, Oral Tradition,\u160?}and will appear in\u160?{\i Digital Humanities Quarterly.}\u160?He has been awarded a creative grant from Harvard University\u8217's Woodberry Poetry Room, a James Weldon Johnson Foundation Legacy award, and Penn\u8217's Sweeten Prize for best essay in American literature. In addition to his media archaeological work, Mustazza works on experimental poetry audio analyses, designing applications to aid in the research and pedagogy of the performed poem. These include a series of applications for a reading-listening method he terms Machine-Aided Close Listening, which is intended to allow for reading across the text and performance(s) of a poem. _x000D__x000D_ _x000D__x000D_\par}

",,mustazza
Chris Prom,Prom,Chris,,Assistant University Archivist and Associate Professor of Library Administration,University of Illinois at Urbana-Champaign,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Christopher J. Prom} is Associate Director, University Archives, and Professor of Library Administration at the University of Illinois at Urbana-Champaign, where he is responsible for managing digital projects, supervising archival processing, and overseeing records scheduling. His research interests address the ways in which archival users seek information relevant to their needs and how they use electronic tools. Chris was the recipient of a 2003\u8211-04 National Historic Publications and Records Commission fellowship and a 1997\u8211-98 Fulbright fellow.He holds a PhD in History from the University of Illinois, where he wrote a dissertation regarding mutual aid societies in late-Victorian Britain, and he also studied at the University of York (United Kingdom). He is also Publications Editor for the Society of American Archives.\par}

",,
Christina Boyles,Boyles,Christina,,"Assistant Professor, Writing Rhetoric and American Cultures", Michigan State University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Christina Boyles is an Assistant Professor of Culturally-engaged Digital Humanities in the Department of Writing, Rhetoric, and American Cultures at Michigan State University. Her research explores the relationship between digital humanities, surveillance, social justice, and the environment. Her published work appears in Digital Humanities Quarterly, Bodies of Information: Feminist Debates in the Digital Humanities, American Quarterly, The Southern Literary Journal, The South Central Review, and Plath Profiles.\par}

",christinaboyles.net,clboyles
Christy Hyman,Hyman,Christy,,PhD Student,University of Nebraska Lincoln,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Christy Hyman is a PhD student and digital humanist in the Department of History at the University of Nebraska Lincoln. Her work wrestles with the societal and ideological tensions in defining freedom within the United States south during the nineteenth century. Specifically, her investigations highlight African American efforts toward cultural and political assertion in the Great Dismal Swamp region. Her focus also includes environmental impacts resulting from the extractive industries that originated in the Great Dismal Swamp alongside the exploitation of enslaved labor. Building on the work of archaeologists, historians, and novelists, her work maps (or rather counter maps) the experiences of enslaved runaways and laborers who were exposed to the Great Dismal Swamp and the long duree of the attendant political, social and environmental costs of human/landscape resource exploitation.\par}

",,Christy_SpaceHW
Chuck Henry,Henry,Chuck,,Vice Provost and University Librarian,Rice University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Henry came to Rice in 1996 from Vassar College, where he had been director of the libraries. As Rice\u8217's vice provost and university librarian, he was responsible for the administration, strategy, policymaking and fundraising for the libraries, the Digital Library Initiative, the Electronic Resource Center (now the Digital Media Center) and, most recently, the Rice University Press. During\u160?2000-04, he served also as vice president and chief information officer, taking on responsibility for administration, planning and policy for information technology services and data application centers and working with faculty and students in support of teaching and research. Henry revived the Rice University Press after a decade-long hiatus, taking advantage of technology to make it the first fully digital university press in the U.S. [{\field{\*\fldinst{HYPERLINK ""news.rice.edu/2007/01/18/university-librarian-henry-leaving-rice/""}}{\fldrslt{\ul
Source: Rice University Website
}}}
]\par}

",news.rice.edu/2007/01/18/university-librarian-henry-leaving-rice/,
Chunyuan Liao,Liao,Chunyuan,,,Computer Science and Human-Computer Interaction Lab,,,"

",,
Columba Stewart,Stewart,Columba,,Executive Director,Hill Museum and Manuscript Library,,,"{\pard \ql \f0 \sa0 \li0 \fi0 A graduate of Harvard, Yale and Oxford universities, Stewart has published extensively in his research field of early Christian monasticism. In 2009-10, he was the recipient of a year-long research fellowship from the National Endowment for the Humanities and a residential fellowship in Byzantine Studies at the Dumbarton Oaks Research Library in Washington, D.C. This year he is in Princeton at the Institute for Advanced Study and is also a Guggenheim Fellow._x000D__x000D_ _x000D__x000D_ Since 2003, Stewart has served as executive director of HMML, a global organization within Saint John\u8217's University, Collegeville, Minnesota, that is the world\u8217's leader in digital manuscript preservation. Stewart has developed HMML\u8217's extensive manuscript digitization initiatives in historic Christian and Muslim communities in the Middle East, Eastern Europe, India and Africa. He has earned acceptance and trust from these communities, who know him both as a modern Benedictine monk and as a recognized expert on the history of early Christianity and monasticism._x000D__x000D_ _x000D__x000D_ Stewart is also a professor of theology at Saint John's School of Theology and Seminary, teaching the history of monasticism.\par}

",csbsju.edu/sot/about-us/sot_facultystaff/sot_faculty/stewart_c,ColumbaStewart
Craig Dietrich,Dietrich,Craig,,Mellon Research Fellow,Occidental College,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Craig Dietrich\u8217's online work includes {\field{\*\fldinst{HYPERLINK ""calltia.com/""}}{\fldrslt{\ul
Tenants in Action
}}}
 (TIA), an app that facilitates slum-housing reports to LA city agencies; the Mukurtu Archive and Plateau People\u8217's Web Portal, for which he was the first lead developer; {\field{\*\fldinst{HYPERLINK ""scalar.usc.edu""}}{\fldrslt{\ul
Scalar
}}}
, which he co-created with the Alliance for Networking Visual Culture (ANVC); and Tensor, an iTunes-like app for managing content from cultural archives. His offline production includes {\field{\*\fldinst{HYPERLINK ""walkingwallstreet.net/""}}{\fldrslt{\ul
Walking Wall Street
}}}
, a project that has seen Dietrich find Wall Streets in towns and cities across America; and Occupy Roundtable, which he hosted in Los Angeles lecture-halls.\par}

",craigdietrich.com ,craigdietrich
Craig Saper,Saper,Craig,,Associate Professor,"University of Maryland, Baltimore County",,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Craig Saper} (csaper<at>umbc<dot>edu) is on the faculty of the Language, Literacy, & Culture multi-disciplinary doctoral program at UMBC, and has published widely, and in multimodal formats, on the digital humanities. \u160?He is the author of\u160?{\i Intimate Bureaucracies}\u160?(2012),\u160?{\i Networked Art}\u160?(2001) and\u160?{\i Artificial Mythologies\u160?}(1997). He has edited, and written afterwards for, Bob Brown\u8217's\u160?{\i Words}\u160?and\u160?{\i The Readies}\u160?(both 2009), and he edited, with C. J. Freeman and W. Garrett-Petts, an anthology on\u160?{\i Imaging Place}\u160?(2009). He has guest edited special issues of\u160?{\i Visible Language}\u160?(1988) and\u160?{\i Style}(2001), and co-edited, with Ellen Berry, a special issue of\u160?{\i Rhizomes}\u160?on \u8220""Drifts\u8221"" (2007), and, with R. Burt, on \u8220""posthumography\u8221"" (2010). He is also the reviews editor and \u8220""Blog Report\u8221"" columnist for\u160?{\i Rhizomes}. He wrote the introduction to Sharon Kivland\u8217's\u160?{\i A Disturbance of Memory}, II (2008). His curatorial projects include exhibits on \u8220""Assemblings\u8221"" (1997), \u8220""Noigandres: Concrete Poetry in Brazil\u8221"" (1988), \u8220""TypeBound\u8221"" (2008), and\u160?{\field{\*\fldinst{HYPERLINK ""www.folkvine.org""}}{\fldrslt{\ul
folkvine.org
}}}
\u160?(2003-6). He\u160?is presently completing a biography of a poet-publisher-inventor-impresario-writer in every imaginable genre, Bob Brown, who invented a reading machine. A\u160?{\i New York Times}\u160?Books section Back Page Essay described Saper\u8217's research and publications on Brown in the context of new iPad\u8217's and e-readers, and called Brown the \u8220""godfather of the e-reader.\u8221"" An example of Brown\u8217's machine:\u160?{\field{\*\fldinst{HYPERLINK ""www.readies.org""}}{\fldrslt{\ul
www.readies.org
}}}
.\par}

",,
Dan Cohen,Cohen,Dan,,Center for History and New Media,George Mason University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Cohen is a Professor of History in the\u160?{\field{\*\fldinst{HYPERLINK ""chnm.gmu.edu/historyarthistory/""}}{\fldrslt{\ul
Department of History and Art History
}}}
 at\u160?{\field{\*\fldinst{HYPERLINK ""www.gmu.edu/""}}{\fldrslt{\ul
George Mason University
}}}
 and the Director of the {\field{\*\fldinst{HYPERLINK ""chnm.gmu.edu/""}}{\fldrslt{\ul
Roy Rosenzweig Center for History and New Media
}}}
. His personal research has been in digital humanities, broadly construed: the impact of new media and technology on all aspects of knowledge, from the nature of digitized resources to twenty-first century research techniques and software tools to the changing landscape of communication and publication._x000D__x000D_ _x000D__x000D_ He's the\u160?co-author of \u160?{\i Digital History: A Guide to Gathering, Preserving, and Presenting the Past on the Web} (University of Pennsylvania Press, 2005), and the author of {\i Equations from God: Pure Mathematics and Victorian Faith} (Johns Hopkins University Press, 2007).\u160?He has\u160?published articles and book chapters on new media, the history of mathematics and religion, the teaching of history, scholarly communication, and the future of the humanities in a digital age in journals such as the {\i Journal of American History}, {\i Victorian Studies}, and {\i Rethinking History}. Cohen's\u160?work and thought has {\field{\*\fldinst{HYPERLINK ""www.nytimes.com/2010/08/24/arts/24peer.html""}}{\fldrslt{\ul
been
}}}
 {\field{\*\fldinst{HYPERLINK ""www.nytimes.com/2010/12/04/books/04victorian.html?pagewanted=all""}}{\fldrslt{\ul
featured
}}}
 {\field{\*\fldinst{HYPERLINK ""www.nytimes.com/2011/08/18/books/old-bailey-trials-are-tabulated-for-scholars-online.html""}}{\fldrslt{\ul
frequently
}}}
 in the {\i New York Times,} the {\field{\*\fldinst{HYPERLINK ""www.washingtonpost.com/wp-dyn/content/article/2010/05/05/AR2010050505309.html""}}{\fldrslt{\ul
{\i Washington Post}
}}}
, the {\field{\*\fldinst{HYPERLINK ""chronicle.com/article/Whats-the-Big-Idea-/124277/""}}{\fldrslt{\ul
{\i Chronicle of Higher Education}
}}}
, and {\field{\*\fldinst{HYPERLINK ""www.timeshighereducation.co.uk/story.asp?sectioncode=26&storycode=411899&c=1""}}{\fldrslt{\ul
{\i Times Higher Education}
}}}
.\par}

",,dancohen
Dana A. Williams,Williams,Dana A.,,Department Chair and Professor of English,Howard University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 A specialist in contemporary African American Literature, Dana A. Williams earned her B.A. in English from Grambling State University in Grambling, LA in 1993, her M.A. in 1995 from Howard University, and her Ph.D. in African American Literature from Howard University in 1998. Before returning to Howard University as a faculty member in 2003, Dr. Williams held a Ford Foundation Post-doc at Northwestern University in Evanston, IL, and taught at Louisiana State University in Baton Rouge for four years. In 2008-09, she was a faculty fellow at the John Hope Franklin Humanities Institute at Duke University, and she assumed the chairmanship of the Department in 2009._x000D__x000D_ _x000D__x000D_ Along with Sandra Shannon, she co-edited {\i August Wilson and Black Aesthetics}, edited {\i African American Humor, Irony, and Satire: Ishmael Reed, Satirically Speaking, Conversations with Leon Forrest}, and {\i Contemporary African American Fiction: New Critical Essays}. She is also the author of {\i Leon Forrest, In the Light of Likeness\u8212-Transformed: The Literary Art of Leon Forrest} (Ohio State UP, 2005)._x000D__x000D_ _x000D__x000D_ She is the past president of the Association of the Departments of English Executive Committee, Chair of the Black American Literature and Culture Forum for the Modern Languages Association, and Immediate President of the College Language Association--the oldest and largest professional organization for faculty of color who teach languages and literatures.\par}

",coas.howard.edu/english/faculty&amp;staff_williams.html,DWill5
Daniel Pitti,Pitti,Daniel,,,"IATH, University of Virginia",,,"

",,
Daniel Stökl Ben Ezra,Stökl Ben Ezra,Daniel,,Research Professor," École Pratique des Hautes Études (EPHE), Paris",,,"{\pard \ql \f0 \sa0 \li0 \fi0 A graduate of the Hebrew University of Jerusalem (2001), Daniel St\u246?kl Ben Ezra is research professor of Ancient Hebrew and Aramaic since 2011. His main work concerns Dead Sea Scrolls (Qumran, Stuttgart: UTB 2016) and early Rabbinic literature ({\field{\*\fldinst{HYPERLINK ""editions.erabbinica.org""}}{\fldrslt{\ul
editions.erabbinica.org
}}}
 with Hayim Lapin) as well as Jewish-Christian relations: Impact of Yom Kippur on Early Christianity (T\u252?bingen: Mohr-Siebeck 2003). He has been director of the digital humanities programme at the EPHE (2013-2018) and is currently director of the Scripta-num\u233?rique project of PSL creating a VRE combining AI (computer vision, NLP, machine learning) and DH for the studying of manuscripts and inscriptions.\par}

",ephe.academia.edu/danielstoekl,
Darius Kazemi,Kazemi,Darius,,Independent Artist,,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Darius Kazemi makes weird internet stuff. His best known work is the Random Shopper, a program that bought him random books, DVDs, and CDs from Amazon each month. He also has a small army of Twitter bots that he builds because they make him laugh. He works as an API Evangelist at Akamai in Boston. Before he moved into internet technology, he was a game developer for ten years._x000D__x000D_\par}

",tinysubversions.com,tinysubversions
Dave Lester,Lester,Dave,,Assistant Director,MITH,,,"

",davelester.org,davelester
David Kirsch,Kirsch,David,,,School of Business,,,"

",,
David McClure,McClure,David,,Web Applications Specialist,"Scholars' Lab, University of Virginia Library",,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b David McClure} is the Web Applications Specialist on the Scholars\u8217' Lab R&D team. David graduated from Yale University with a degree in the {\field{\*\fldinst{HYPERLINK ""www.yale.edu/humanities/""}}{\fldrslt{\ul
Humanities
}}}
 in 2009 and worked as an independent web developer in San Francisco, New York, and Madison, Wisconsin before joining the lab in 2011. David is working on the {\field{\*\fldinst{HYPERLINK ""neatline.scholarslab.org""}}{\fldrslt{\ul
Omeka + Neatline
}}}
 project and pursuing research projects that explore the idea that software can be used as a tool to inform, extend, and advance traditional lines of inquiry in literary theory and aesthetics.\par}

",,clured
David Mimno,Mimno,David,,Postdoctoral Researcher,Princeton University,,,"

",,dmimno
David Prager Branner,Prager Branner,David,,,,,,"

",,
David Saltz,Saltz,David,,"Head, Department of Theatre and Film Studies",University of Georgia,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b David Z. Saltz\u160?}(PhD, Stanford) is head of the Department of Theatre and Film Studies at the University of Georgia, He currently serves as editor of Theatre Journal. His primary research focus is the interaction between live performance and digital media. He is Principal Investigator of Virtual Vaudeville, a large-scale research project that was funded by the National Science Foundation to simulate a nineteenth century vaudeville performance on the computer. He has also explored the use of computer technology extensively in his work as a director and teacher. Along those lines he established the Interactive Performance Laboratory at UGA, has directed a series of productions incorporating real-time interactive digital media, and has created interactive sculptural installations that have been exhibited nationally. He has published 20 articles in scholarly journals and books, and is coeditor (with David Krasner) of the book {\i Staging Philosophy: Intersections between Theatre, Performance and Philosophy} (University of Michigan Press, 2006).\par}

",drama.uga.edu/faculty-and-staff/david-saltz,dzsaltz
David Silver,Silver,David,,,University of Maryland,,,"

",,
Despina Kakoudaki,Kakoudaki,Despina,,"Assistant Professor, Department of Literature",American University,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Professor Kakoudaki teaches interdisciplinary courses in literature and film, visual culture, and the history of technology and new media. Her interests include cultural studies, science fiction, apocalyptic narratives, and the representation of race and gender in literature and film._x000D__x000D_ _x000D__x000D_ She completed her doctorate in Comparative Literature at the University of California at Berkeley, and taught at Berkeley and at Harvard University before joining AU. She has published articles on robots and cyborgs, race and melodrama in action and disaster films, body transformation and technology in early film, the political role of the pin-up in World War II, and the representation of the archive in postmodern fiction. She has also co-edited a collection of essays on the work of Pedro Almodovar with Brad Epps (University of Minnesota Press, 2009).\par}

",american.edu/cas/faculty/kakoudak.cfm,
Donald Brinkman,Brinkman,Donald,,"Program Manager, Digital Humanities, Digital Heritage and Games for Learning",Microsoft Research,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Donald Brinkman}\u160?manages external programs in digital humanities, digital heritage and games for learning at Microsoft Research. Donald supports the\u160?{\field{\*\fldinst{HYPERLINK ""g4li.org""}}{\fldrslt{\ul
Games for Learning Institute
}}}
, a consortium of 8 universities, 14 principal investigators, and a small army of graduate students whose mission is to explore what makes games fun, what makes them educational, and how to best blend the two goals. He is the Microsoft champion for the\u160?{\field{\*\fldinst{HYPERLINK ""play.rit.edu/""}}{\fldrslt{\ul
Just Press Play
}}}
\u160?project, an experiment to transform the undergraduate education of 750 students at Rochester Institute of Technology into a gameful narrative. Other projects include\u160?{\field{\*\fldinst{HYPERLINK ""blogs.msdn.com/b/surface/archive/2010/04/27/experience-the-garibaldi-panorama-on-surface.aspx""}}{\fldrslt{\ul
Project Garibaldi
}}}
\u160?and\u160?{\field{\*\fldinst{HYPERLINK ""www.gameshownyc.com/""}}{\fldrslt{\ul
Game Show NYC
}}}
._x000D__x000D_ _x000D__x000D_ Before joining MSR, Donald Brinkman served for two years as a technical program manager for the Microsoft education group. In that role he was responsible for defining vision of innovative business intelligence and analytics for education as well as driving a variety of enterprise-scale server capabilities. Prior to joining Microsoft he spent eight years in developmental and technical roles acquiring and executing government research contracts in areas such as quantum computation; signals intelligence; electromagnetic and kinetic simulations; behavioral economics; game theory; and cross-cultural communications. Donald is a writer, painter, game designer, and a passionate advocate of the benefits of building bridges between technical and humanist disciplines. He is particularly interested in disruptive technologies that leverage crowdsourcing, social computing, culture jamming, transmedia, and other non-traditional approaches. You can find out more about Donald at {\field{\*\fldinst{HYPERLINK ""blogs.technet.com/b/next/archive/2012/01/27/donald-brinkman-polymath-poet-gaming-geek.aspx""}}{\fldrslt{\ul
Next@Microsoft
}}}
.\par}

",,Brinkmanship
Doug Reside,Reside,Doug,,"Assistant Director, MITH",University of Maryland,,,"{\pard \ql \f0 \sa0 \li0 \fi0 {\b Doug Reside} is Assistant Director of the Maryland Institute for Technology in the Humanities (MITH). In addition to undergraduate degrees in English and Computer Science from Truman State University, he holds a PhD in English from the University of Kentucky and his dissertation, completed in 2006, proposes a theory for textual criticism and editing of musical theater texts and included an electronic edition of the 1998 musical Parade. Reside directs all programming work at MITH and has taught three courses on programming for humanities students.\par}

",nypl.orgstaff-profiles/doug-reside,dougreside
Douglas Eyman,Eyman,Douglas,,,George Mason University,,,"

",,
Douglas Oard,Oard,Douglas,,,"iSchool, University of Maryland",,,"

",,
Ed Summers,Summers,Ed,,Information Technology Specialist,Library of Congress,,,"

",,edsu
Elisa Beshero-Bondar,Beshero-Bondar,Elisa,,"Director, Center for the Digital Text and Associate Professor of English",University of Pittsburgh at Greensburg,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Elisa Beshero-Bondar, PhD researches British Romanticism in poetry and drama from the 1790s - 1830s. Her book about women Romantic poets, titled Women, Epic, and Transition in British Romanticism, was published by the University of Delaware Press in 2011, and she has published articles investigating the poetry of Robert Southey, Mary Russell Mitford, and Lord Byron in context with 18th- and 19th-century views of revolution, world empires, natural sciences, and theater productions. She is currently exploring the applications of TEI XML and other markup languages in Digital Humanities research. She is the architect of the {\field{\*\fldinst{HYPERLINK ""digitalmitford.org""}}{\fldrslt{\ul
Digital Mitford Project
}}}
\u160?and works on other collaborative digital archives and research projects using computational methods to study complicated textual questions, such as {\field{\*\fldinst{HYPERLINK ""amadis.newtfire.org""}}{\fldrslt{\ul
Amadis in Translation
}}}
\u160?and the {\field{\*\fldinst{HYPERLINK ""https://ebeshero.github.io/Pittsburgh_Frankenstein/""}}{\fldrslt{\ul
Bicentennial Frankenstein Project
}}}
. An active member of the Text Encoding Initiative (TEI), she was elected to serve on from 2016 to 2017 on the TEI Technical Council, an eleven-member international committee that supervises amendments to the TEI Guidelines. A faculty member at Pitt-Greensburg since 2004, she serves as the Director of Pitt-Greensburg's Center for the Digital Text, which supports digital project development and research collaborations among faculty and students.\par}

",greensburg.pitt.edu/people/elisa-eileen-beshero-bondar-phd,epyllia
Elissa Frankle,Frankle,Elissa,,Digital Projects Coordinator of Digital Learning and New Media,United States Holocaust Memorial Museum,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Elissa Frankle is the Digital Projects Coordinator for Digital Learning and New Media at the United States Holocaust Memorial Museum, where she manages the in-museum digital experience and advocates for the inclusion of visitor voices in the work of the Museum. A longtime cheerleader for citizen history, Elissa served as the community manager for the Holocaust Museum's first citizen history project, {\i Children of the Lodz Ghetto: A Memorial Research Project}, and is the current project lead for {\i History Unfolded: US Newspapers and the Holocaust}, a major citizen history undertaking in support of the Museum's upcoming initiative on Americans and the Holocaust. Outside of work, Elissa serves as the Leadership Development and Awards chair for the {\field{\*\fldinst{HYPERLINK ""www.aam-us.orgresources/professional-networks/edcom""}}{\fldrslt{\ul
American Alliance of Museums' Education Professional Network
}}}
 (EdCom), and organizes the DC chapter of {\field{\*\fldinst{HYPERLINK ""https://twitter.com/museumworkers""}}{\fldrslt{\ul
Museum Workers Speak
}}}
, where she fights for paid internships and greater equity in museum labor practices throughout the field.\par}

",,museums365
Elizabeth Bearden,Bearden,Elizabeth,,,,,,"

",,
Elizabeth Losh,Losh,Elizabeth,,Associate Professor of English and American Studies,College of William and Mary,,,"{\pard \ql \f0 \sa0 \li0 \fi0 Elizabeth Losh is the author of {\i Virtualpolitik: An Electronic History of Government Media-Making in a Time of War, Scandal, Disaster, Miscommunication, and Mistakes} (MIT Press, 2009) and {\i The War on Learning: Gaining Ground in the Digital University} (MIT Press, 2014). She is the co-author of the comic book textbook {\i Understanding Rhetoric: A Graphic Guide to Writing} (Bedford/St. Martin\u8217's, 2013) with Jonathan Alexander. She is currently working on a new monograph, tentatively entitled {\i Obama Online: Technology, Masculinity, and Democracy}._x000D__x000D_ _x000D__x000D_ She writes about gender and technology, the digital humanities, distance learning, connected learning, media literacy, and the rhetoric surrounding regulatory attempts to limit everyday digital practices._x000D__x000D_ _x000D__x000D_ She has written a number of frequently cited essays about communities that produce, consume, and circulate online video, videogames, digital photographs, text postings, and programming code. The diverse range of subject matter analyzed in her scholarship has included coming out videos on YouTube, videogame fan films created by immigrants, combat footage from soldiers in Iraq shot on mobile devices, video evidence created for social media sites by protesters on the Mavi Marmara, remix videos from the Arab Spring, and the use of Twitter and Facebook by Indian activists working for women\u8217's rights after the Delhi rape case.\u160? Much of this body of work concerns the legitimation of political institutions through visual evidence, representations of war and violence in global news, and discourses about human rights.\u160? This work has appeared in edited collections from MIT Press, Routledge, University of Chicago, Minnesota, Oxford, Continuum, and many other presses.\par}

",,lizlosh
Elizabeth Martin,Martin,Elizabeth,,,,,,"

",,
Emad Khazraee,Khazraee,Emad,,"Fellow, Berkman Klein Center for Internet & Society",Harvard University,Assistant Professor in the School of Information,Kent State University,"{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 \u8203?Emad Khazraee is a sociotechnical information scientists and an assistant professor in the\u160?{\field{\*\fldinst{HYPERLINK ""https://www.kent.edu/cci""}}{\fldrslt{\ul
college of communication and information
}}}
,\u160?{\field{\*\fldinst{HYPERLINK ""https://www.kent.edu/slis""}}{\fldrslt{\ul
School of Information
}}}
\u160?at\u160?{\field{\*\fldinst{HYPERLINK ""https://www.kent.edu/""}}{\fldrslt{\ul
Kent State University
}}}
\u160?and a fellow at\u160?{\field{\*\fldinst{HYPERLINK ""https://cyber.harvard.edu/""}}{\fldrslt{\ul
Berkman-Klein Center for Internet & Society at Harvard
}}}
. His research is formed around the interplay between social and technical phenomena.\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_ Khazraee's doctoral research focused on knowledge production processes in data-intensive, collaborative and multidisciplinary communities of practice, specifically the knowledge production processes in archaeological communities of practice. His research also focuses on how archaeologists construct their epistemic narratives from recorded pieces of information, looking at the way they collaborate and the performativity of information technologies.\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 In another research trajectory, Khazraee looks at the cultural differences in new media use and the relationship between social change and digital technologies. Relying on sociotechnical approaches to social media studies and conceptual frameworks developed in Science Technology Studies (STS), he explores the role of social media in social transformations.\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 _x000D__x000D_\par}
{\pard \ql \f0 \sa0 \li0 \fi0 Khazraee has also held a Post-Doctoral research fellow position at the{\field{\*\fldinst{HYPERLINK ""www.global.asc.upenn.edu/""}}{\fldrslt{\ul
\u160?Center for Global Communication Studies
}}}
\u160?at the\u160?{\field{\*\fldinst{HYPERLINK ""https://www.asc.upenn.edu/""}}{\fldrslt{\ul
Annenberg School for Communication
}}}
\u160?at the\u160?{\field{\*\fldinst{HYPERLINK ""www.upenn.edu/""}}{\fldrslt{\ul
University of Pennsylvania
}}}
\u160?(2014-2015). He received his Ph.D. in Information Studies from the\u160?{\field{\*\fldinst{HYPERLINK ""cci.drexel.edu/""}}{\fldrslt{\ul
College of Computing and Informatics
}}}
,\u160?{\field{\*\fldinst{HYPERLINK ""www.drexel.edu/""}}{\fldrslt{\ul
Drexel University
}}}
, and a\u160?Master\u8217's Degree in Architecture from the University of Tehran. In addition to practicing as an architect in Iran, he has worked in the preservation of historical monuments and sites before joining the Encyclopaedia of Iranian Architectural History (EIAH) in 2006, where he was the director of the ICT Department (2006-2009), with the goal of creating infrastructure for meaningful integration of information technology into cultural heritage practices.\par}

",khazraee.com,seakha
